year,industry,numberOfWorkers,sex,age
2021,Manufacturing,2700,male,20 - 24
2020,Manufacturing,2500,male,20 - 24
2019,Manufacturing,2000,male,20 - 24
2018,Manufacturing,3000,male,20 - 24
2017,Manufacturing,2300,male,20 - 24
2016,Manufacturing,3400,male,20 - 24
2015,Manufacturing,3200,male,20 - 24
2014,Manufacturing,2800,male,20 - 24
2013,Manufacturing,3500,male,20 - 24
2012,Manufacturing,3500,male,20 - 24
2011,Manufacturing,4000,male,20 - 24
2010,Manufacturing,3800,male,20 - 24
2009,Manufacturing,3200,male,20 - 24
2008,Manufacturing,5200,male,20 - 24
2007,Manufacturing,6000,male,20 - 24
2006,Manufacturing,5500,male,20 - 24
2005,Manufacturing,5300,male,20 - 24
2004,Manufacturing,4000,male,20 - 24
2003,Manufacturing,3600,male,20 - 24
2002,Manufacturing,4700,male,20 - 24
2001,Manufacturing,5000,male,20 - 24
2000,Manufacturing,5700,male,20 - 24
2021,Construction,900,male,20 - 24
2020,Construction,800,male,20 - 24
2019,Construction,600,male,20 - 24
2018,Construction,1000,male,20 - 24
2017,Construction,1300,male,20 - 24
2016,Construction,1100,male,20 - 24
2015,Construction,1300,male,20 - 24
2014,Construction,1200,male,20 - 24
2013,Construction,1100,male,20 - 24
2012,Construction,1300,male,20 - 24
2011,Construction,900,male,20 - 24
2010,Construction,1100,male,20 - 24
2009,Construction,1100,male,20 - 24
2008,Construction,1200,male,20 - 24
2007,Construction,900,male,20 - 24
2006,Construction,1100,male,20 - 24
2005,Construction,900,male,20 - 24
2004,Construction,1300,male,20 - 24
2003,Construction,800,male,20 - 24
2002,Construction,1300,male,20 - 24
2001,Construction,1400,male,20 - 24
2000,Construction,1800,male,20 - 24
2021,Wholesale & Retail Trade,3500,male,20 - 24
2020,Wholesale & Retail Trade,3700,male,20 - 24
2019,Wholesale & Retail Trade,5300,male,20 - 24
2018,Wholesale & Retail Trade,4900,male,20 - 24
2017,Wholesale & Retail Trade,5400,male,20 - 24
2016,Wholesale & Retail Trade,6100,male,20 - 24
2015,Wholesale & Retail Trade,6600,male,20 - 24
2014,Wholesale & Retail Trade,7000,male,20 - 24
2013,Wholesale & Retail Trade,6400,male,20 - 24
2012,Wholesale & Retail Trade,7500,male,20 - 24
2011,Wholesale & Retail Trade,5800,male,20 - 24
2010,Wholesale & Retail Trade,6500,male,20 - 24
2009,Wholesale & Retail Trade,5900,male,20 - 24
2008,Wholesale & Retail Trade,5000,male,20 - 24
2007,Wholesale & Retail Trade,6700,male,20 - 24
2006,Wholesale & Retail Trade,6600,male,20 - 24
2005,Wholesale & Retail Trade,6700,male,20 - 24
2004,Wholesale & Retail Trade,5700,male,20 - 24
2003,Wholesale & Retail Trade,4800,male,20 - 24
2002,Wholesale & Retail Trade,5400,male,20 - 24
2001,Wholesale & Retail Trade,5800,male,20 - 24
2000,Wholesale & Retail Trade,6200,male,20 - 24
2021,Transportation & Storage,4800,male,20 - 24
2020,Transportation & Storage,4900,male,20 - 24
2019,Transportation & Storage,4600,male,20 - 24
2018,Transportation & Storage,3800,male,20 - 24
2017,Transportation & Storage,5000,male,20 - 24
2016,Transportation & Storage,3400,male,20 - 24
2015,Transportation & Storage,3500,male,20 - 24
2014,Transportation & Storage,3300,male,20 - 24
2013,Transportation & Storage,3500,male,20 - 24
2012,Transportation & Storage,3600,male,20 - 24
2011,Transportation & Storage,3400,male,20 - 24
2010,Transportation & Storage,3700,male,20 - 24
2009,Transportation & Storage,3100,male,20 - 24
2008,Transportation & Storage,3600,male,20 - 24
2007,Transportation & Storage,3300,male,20 - 24
2006,Transportation & Storage,3100,male,20 - 24
2005,Transportation & Storage,2900,male,20 - 24
2004,Transportation & Storage,2300,male,20 - 24
2003,Transportation & Storage,2300,male,20 - 24
2002,Transportation & Storage,2200,male,20 - 24
2001,Transportation & Storage,3100,male,20 - 24
2000,Transportation & Storage,3200,male,20 - 24
2021,Accommodation & Food Services,3200,male,20 - 24
2020,Accommodation & Food Services,2500,male,20 - 24
2019,Accommodation & Food Services,4600,male,20 - 24
2018,Accommodation & Food Services,4400,male,20 - 24
2017,Accommodation & Food Services,4600,male,20 - 24
2016,Accommodation & Food Services,4600,male,20 - 24
2015,Accommodation & Food Services,5100,male,20 - 24
2014,Accommodation & Food Services,4700,male,20 - 24
2013,Accommodation & Food Services,4300,male,20 - 24
2012,Accommodation & Food Services,4200,male,20 - 24
2011,Accommodation & Food Services,4400,male,20 - 24
2010,Accommodation & Food Services,3500,male,20 - 24
2009,Accommodation & Food Services,3900,male,20 - 24
2008,Accommodation & Food Services,3600,male,20 - 24
2007,Accommodation & Food Services,3700,male,20 - 24
2006,Accommodation & Food Services,4100,male,20 - 24
2005,Accommodation & Food Services,3100,male,20 - 24
2004,Accommodation & Food Services,3400,male,20 - 24
2003,Accommodation & Food Services,3000,male,20 - 24
2002,Accommodation & Food Services,2500,male,20 - 24
2001,Accommodation & Food Services,3000,male,20 - 24
2000,Accommodation & Food Services,2600,male,20 - 24
2021,Information & Communications,2300,male,20 - 24
2020,Information & Communications,2400,male,20 - 24
2019,Information & Communications,2400,male,20 - 24
2018,Information & Communications,1800,male,20 - 24
2017,Information & Communications,1300,male,20 - 24
2016,Information & Communications,2800,male,20 - 24
2015,Information & Communications,2100,male,20 - 24
2014,Information & Communications,2100,male,20 - 24
2013,Information & Communications,1600,male,20 - 24
2012,Information & Communications,2900,male,20 - 24
2011,Information & Communications,1800,male,20 - 24
2010,Information & Communications,3300,male,20 - 24
2009,Information & Communications,2000,male,20 - 24
2008,Information & Communications,2800,male,20 - 24
2007,Information & Communications,2300,male,20 - 24
2006,Information & Communications,2500,male,20 - 24
2005,Information & Communications,1700,male,20 - 24
2004,Information & Communications,2000,male,20 - 24
2003,Information & Communications,1300,male,20 - 24
2002,Information & Communications,1300,male,20 - 24
2001,Information & Communications,2500,male,20 - 24
2000,Information & Communications,1800,male,20 - 24
2021,Financial & Insurance Services,2300,male,20 - 24
2020,Financial & Insurance Services,3000,male,20 - 24
2019,Financial & Insurance Services,2800,male,20 - 24
2018,Financial & Insurance Services,3600,male,20 - 24
2017,Financial & Insurance Services,3200,male,20 - 24
2016,Financial & Insurance Services,3000,male,20 - 24
2015,Financial & Insurance Services,3500,male,20 - 24
2014,Financial & Insurance Services,3000,male,20 - 24
2013,Financial & Insurance Services,2000,male,20 - 24
2012,Financial & Insurance Services,2800,male,20 - 24
2011,Financial & Insurance Services,2300,male,20 - 24
2010,Financial & Insurance Services,2300,male,20 - 24
2009,Financial & Insurance Services,1800,male,20 - 24
2008,Financial & Insurance Services,2500,male,20 - 24
2007,Financial & Insurance Services,1900,male,20 - 24
2006,Financial & Insurance Services,1200,male,20 - 24
2005,Financial & Insurance Services,1300,male,20 - 24
2004,Financial & Insurance Services,1000,male,20 - 24
2003,Financial & Insurance Services,600,male,20 - 24
2002,Financial & Insurance Services,700,male,20 - 24
2001,Financial & Insurance Services,1200,male,20 - 24
2000,Financial & Insurance Services,1000,male,20 - 24
